Sl_No,Site Size,Type,Layout Details,Site_No,E to W,N to S,Total_Area (in sq.m),Lat,Long,Lat,Long,Google Maps Link,Layout,Block,Village,Survey.No.,"Contact Number - Site Information Coordinator
9am-5pm on working days",Rate Per Sq.Mtr in Rs.,Rate per sq.ft in Rs.,Total Area (in sq ft),Total Minimum Bid Price 
1,Odd,Corner,"RMV 2nd Stage, Nagashettihalli",575,15.24,(22.60+18.60)/2,313.94,Not Found,,Not Found,,NA,RMV 2nd Stage,NA,Nagashettihalli,36/1,8722433608,166250,15445,#REF!,#REF!
2,Odd,Corner,"RMV 2nd Stage, Nagashettihalli",574,15.24,(26.80+22.60)/2,376.42,,,,,NA,RMV 2nd Stage,NA,Nagashettihalli,36/1,8722433608,166250,15445,#REF!,#REF!
3,Odd,Corner,"Arkavathy layout, 2nd Block, Sampigenahalli",2142A,9,(32.30+7.40)/2,377.15,13.08009,77.613806,13.08009,77.613806,"https://www.google.com/maps?q=13.08009,77.613806",Arkavathi Layout,2nd,Sampigehalli,15,7349388238,87500,8129,#REF!,#REF!
4,Odd,Corner,"Arkavathy layout, 2nd Block, Sampigenahalli",2178A,24,(0.50+30.10),361.2,13.080711,77.613792,13.080711,77.613792,"https://www.google.com/maps?q=13.080711,77.613792",Arkavathi Layout,2nd,Sampigehalli,"14/1,14/3 & 15",7349388238,87500,8129,#REF!,#REF!
5,Odd,Corner,"Arkavathy Layout, 2nd Block, Sampigenahalli",3188,18,(6.00+13.00)/2,171,13.077509,77.613323,13.077509,77.613323,"https://www.google.com/maps?q=13.077509,77.613323",Arkavathi Layout,2nd,Sampigehalli,20,7349388238,87500,8129,#REF!,#REF!
6,Odd,Corner,"Arkavathy Layout, 2nd Block, Sampigenahalli",2080A,24,(0.5+8.80),105.6,13.077208,77.613482,13.077208,77.613482,"https://www.google.com/maps?q=13.077208,77.613482",Arkavathi Layout,2nd,Sampigehalli,21/1 & 21/2,7349388238,87500,8129,#REF!,#REF!
7,Odd,Corner,"Arkavathy Layout, 2nd Block, Sampigenahalli",3187,18,(3.60+8.60)/2,109.8,13.077605,77.613185,13.077605,77.613185,"https://www.google.com/maps?q=13.077605,77.613185",Arkavathi Layout,2nd,Sampigehalli,19 & 20,7349388238,87500,8129,#REF!,#REF!
8,Odd,Corner,"Arkavathy Layout, 3nd Block, Sampigenahalli",358,24,(16.50+16.00)/2,390,13.082513,77.619992,13.082513,77.619992,"https://www.google.com/maps?q=13.082513,77.619992",Arkavathi Layout,3rd,Sampigehalli,39/1,7349388238,87500,8129,#REF!,#REF!
9,Regular,Corner,"Arkavathy Layout, 3nd Block, Sampigenahalli",867,16.65,11.5,191.47,13.075035,77.623352,13.075035,77.623352,"https://www.google.com/maps?q=13.075035,77.623352",Arkavathi Layout,3rd,Sampigehalli,31,7349388238,87500,8129,#REF!,#REF!
10,Regular,Corner,"Arkavathy Layout, 7th  Block, Jakkur",3231,(0.50+15.40),24,184.8,13.074825,77.60779,13.074825,77.60779,"https://www.google.com/maps?q=13.074825,77.60779",Arkavathi Layout,7th,Jakkur,73/2,7349388238,73500,6828,#REF!,#REF!
11,Regular,Corner,"Arkavathy Layout, 7th  Block, Jakkur",JK72,(10.50+10.00)/2,18,187.5,13.078912,77.611408,13.078912,77.611408,"https://www.google.com/maps?q=13.078912,77.611408",Arkavathi Layout,7th,Jakkur,28/1 & 30,7349388238,73500,6828,#REF!,#REF!
12,Regular,Corner,"Arkavathy Layout, 15th   Block, Thanisandra",445,12,12.5,150,13.044472,77.634238,13.044472,77.634238,"https://www.google.com/maps?q=13.044472,77.634238",Arkavathi Layout,15th,Thanisandra,17/10D,9980402882,96250,8942,#REF!,#REF!
13,Odd,Corner,"Arkavathy Layout, 15th   Block, Thanisandra",237,15,(9.6+11.00)/2,154.5,13.045344,77.636636,13.045344,77.636636,"https://www.google.com/maps?q=13.045344,77.636636",Arkavathi Layout,15th,Thanisandra,17/8,9980402882,96250,8942,#REF!,#REF!
14,Odd,Corner,"Arkavathy Layout, 15th   Block, Thanisandra",244,15,(10.00+11.2)/2,159,13.045858,77.636624,13.045858,77.636624,"https://www.google.com/maps?q=13.045858,77.636624",Arkavathi Layout,15th,Thanisandra,17/7,9980402882,96250,8942,#REF!,#REF!
15,Regular,Corner,"Arkavathy Layout, 15th   Block, Thanisandra",220,9,15,135,13.045967,77.6372,13.045967,77.6372,"https://www.google.com/maps?q=13.045967,77.6372",Arkavathi Layout,15th,Thanisandra,17/7,9980402882,96250,8942,#REF!,#REF!
16,Odd,Corner,"Arkavathy Layout, 15th   Block, Thanisandra",225,18.2,(12.50+11.70)/2,220.22,13.045297,77.63704,13.045297,77.63704,"https://www.google.com/maps?q=13.045297,77.63704",Arkavathi Layout,15th,Thanisandra,17/8,9980402882,96250,8942,#REF!,#REF!
17,Regular,Corner,"Arkavathy Layout, 20th   Block, Thanisandra",TS940A,(15.00+10.00)/2,12,150,13.041534,77.63514,13.041534,77.63514,"https://www.google.com/maps?q=13.041534,77.63514",Arkavathi Layout,20th,Thanisandra,22,9980402882,96250,8942,#REF!,#REF!
